epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.718,1.10752,1.6476,1.36966,0.34084,0.33898,0.28682,0.14141,1.84055,2.66931,2.34381,0.0670504,0.000332824,0.000332824
2,204.693,1.03465,1.25201,1.32592,0.67557,0.65561,0.71676,0.48933,1.11951,1.33675,1.57455,0.0340372,0.000652968,0.000652968
3,306.81,0.99356,1.15513,1.29511,0.65107,0.6982,0.69915,0.49099,1.09185,1.34236,1.52356,0.0010108,0.000959911,0.000959911
4,403.525,0.93118,1.03152,1.24645,0.74998,0.64391,0.74438,0.52537,1.04602,1.12759,1.44053,0.0009406,0.0009406,0.0009406
5,499.038,0.88282,0.92846,1.21753,0.79263,0.74209,0.83114,0.62104,0.90571,0.97521,1.36764,0.0009208,0.0009208,0.0009208
6,594.462,0.83723,0.87126,1.19053,0.76862,0.75207,0.83277,0.64215,0.92177,0.92616,1.36832,0.000901,0.000901,0.000901
7,689.747,0.80209,0.81267,1.16814,0.84849,0.73112,0.85227,0.66857,0.87322,0.89374,1.32911,0.0008812,0.0008812,0.0008812
8,783.827,0.76916,0.76348,1.14278,0.84897,0.80376,0.88164,0.69629,0.85198,0.83331,1.29974,0.0008614,0.0008614,0.0008614
9,877.798,0.74227,0.72692,1.12594,0.83516,0.73052,0.86178,0.66434,0.91222,0.8586,1.36177,0.0008416,0.0008416,0.0008416
10,970.933,0.72007,0.68743,1.10967,0.89374,0.77725,0.89358,0.70436,0.83672,0.80028,1.29287,0.0008218,0.0008218,0.0008218
11,1062.09,0.70356,0.66048,1.10386,0.8704,0.76806,0.87385,0.69414,0.82218,0.83939,1.30186,0.000802,0.000802,0.000802
12,1163.12,0.68011,0.63917,1.09193,0.87803,0.80018,0.88845,0.72012,0.81676,0.80708,1.30441,0.0007822,0.0007822,0.0007822
13,1264.42,0.67614,0.63524,1.08881,0.8415,0.81396,0.90057,0.7326,0.81241,0.74422,1.29887,0.0007624,0.0007624,0.0007624
14,1359.13,0.65198,0.60831,1.07596,0.844,0.80766,0.89023,0.73239,0.75896,0.72914,1.26474,0.0007426,0.0007426,0.0007426
15,1455.77,0.63348,0.58876,1.06546,0.88332,0.78471,0.8895,0.72954,0.82174,0.76684,1.31204,0.0007228,0.0007228,0.0007228
16,1556.56,0.62321,0.57255,1.06057,0.87261,0.795,0.87622,0.73077,0.78293,0.78264,1.2838,0.000703,0.000703,0.000703
17,1650.4,0.60968,0.55699,1.04947,0.87505,0.81581,0.90373,0.74773,0.75914,0.71294,1.2585,0.0006832,0.0006832,0.0006832
18,1743.07,0.59827,0.54769,1.0457,0.89577,0.81439,0.90999,0.76055,0.76611,0.66642,1.27788,0.0006634,0.0006634,0.0006634
19,1835.43,0.58411,0.52812,1.03712,0.88721,0.8258,0.90608,0.75439,0.77271,0.68171,1.28251,0.0006436,0.0006436,0.0006436
20,1928.67,0.57058,0.51283,1.0268,0.87048,0.84043,0.90953,0.7685,0.73743,0.68776,1.25344,0.0006238,0.0006238,0.0006238
